,Time,headlines
0,"November 13th, 2019 9:29 pm",Local Round-Up: Sustainable student housing to be built in Lyngby 
1,"November 13th, 2019 5:11 pm",Danes revolutionised US dairy industry in late 19th century 
2,"November 13th, 2019 2:04 pm",The Blame Game: Britta Nielsen takes the stand 
3,"November 13th, 2019 11:17 am",Danish Round-Up: Artificial island will require a generation of heavy truck traffic 
4,"November 13th, 2019 10:15 am",Government aiming to prevent kids of foreign fighters from getting Danish citizenship 
5,"November 12th, 2019 7:15 pm",Science and Tech Round-Up: New social app aids expats and receives DK investments 
6,"November 12th, 2019 4:58 pm",PLAY-time at CPH Airport: New budget airline circling 
7,"November 12th, 2019 9:47 am",Danish jihadist arrested at Copenhagen Airport 
8,"November 12th, 2019 9:23 am",More young Danes wish to switch their gender 
9,"November 11th, 2019 7:04 pm",International Round-Up: Terrorist suspect to be returned to Denmark 
10,"November 11th, 2019 6:16 pm",Proposal for new ‘Øresund Metro’ to cut travel time to Sweden in half 
11,"November 11th, 2019 11:13 am",Historic moment: Zealand overtakes Jutland in population 
12,"November 11th, 2019 10:14 am",Anti-Semite vandals rewind the clock to 1938 to mark Nazi operation against Jewish communities 
13,"November 10th, 2019 5:24 pm",News in Digest: Leftfield or firm foot forward? 
14,"November 8th, 2019 5:56 pm",Unemployment rate remains at historic low 
15,"November 8th, 2019 2:38 pm",Sports Round-Up: FC Copenhagen hold on against Ukrainians 
16,"November 8th, 2019 12:20 pm",Travel Round-Up: Selling Copenhagen’s trendy city districts to young tourists 
17,"November 8th, 2019 9:45 am",Holy cow! Denmark close to tackling huge climate problem 
18,"November 7th, 2019 5:54 pm",Culture Round-Up: Streaming films of yesteryear when they kept shtum on camera 
19,"November 7th, 2019 5:10 pm",Science and Tech Round-Up: Randy Ray to spread his flaps in Copenhagen 
20,"November 7th, 2019 4:02 pm",International Round-Up: Faroes’ new green solution to pump water out of mountains 
21,"November 7th, 2019 11:40 am",Onwards! Denmark has a new political party 
22,"November 7th, 2019 9:08 am",Millions use new City Ring Metro in inaugural month 
23,"November 6th, 2019 5:59 pm",Danish News Round-Up: First snow or a downpour of weatherman’s dandruff? 
24,"November 6th, 2019 4:06 pm",Local Round-Up: Revered and reviled … a mixed week for Princess Mary 
25,"November 6th, 2019 2:16 pm",Politicians voice anger at Turkish report that claims Danes are anti-Muslim 
26,"November 6th, 2019 12:12 pm","Britta Nielsen and her kids have pretty much squandered the lot, claim prosecutors "
27,"November 5th, 2019 5:28 pm",International Round-Up: Greenland courting US and Chinese interest 
28,"November 5th, 2019 4:59 pm",Business Round-Up: Spies sold to Norwegian billionaire 
29,"November 5th, 2019 12:31 pm",Danish News Round-Up: Aarhus lands emerging destination award … but don’t fall like a lemming 
30,"November 5th, 2019 9:42 am",Local Round-Up: Ongoing dispute over fast-tracked square construction in Sydhavn 
31,"November 4th, 2019 11:56 am",Denmark’s crusade against illegal gambling 
32,"November 4th, 2019 10:05 am",Copenhagen ranked fourth healthiest city in the world 
33,"November 2nd, 2019 6:00 am",Do you want some racial slurs to go with your fries? 
34,"November 1st, 2019 4:32 pm",Danish police believe hate crimes are under-reported 
35,"November 1st, 2019 3:02 pm",Danish New Round-Up: J-day to be more inclusive this year 
36,"November 1st, 2019 1:36 pm",Halloween events: Dress like a ghost and see who parties the most 
37,"November 1st, 2019 9:16 am",Broad majority forming for new climate law 
38,"October 31st, 2019 6:34 pm",Danish News Round-Up: Acute medicine shortage at nation’s pharmacies 
39,"October 31st, 2019 5:41 pm",International Round-Up: Death penalty for murderers of Danish backpacker 
40,"October 31st, 2019 12:18 pm",Nature Round-Up: Goes without saying that Halloween is the season for large spider sightings! 
41,"October 31st, 2019 10:11 am",Putin full of praise for Denmark following pipeline approval 
42,"October 30th, 2019 2:26 pm",Davai! Denmark finally approves controversial Russian pipeline 
43,"October 30th, 2019 1:40 pm",Danish Commonwealth grows in size following border accord 
44,"October 30th, 2019 11:13 am",Business Round-Up: AmCham’s amour for Amgen 
45,"October 30th, 2019 9:31 am",Let’s talk about sex! How Danes with bedroom issues tend to stay silent on the matter 
46,"October 30th, 2019 7:47 am",Government maps out second ‘wolf zone’ on heels of livestock attacks 
47,"October 29th, 2019 9:37 am",Danish experts assist in Europol’s identification of four child sexual abuse victims 
48,"October 29th, 2019 9:25 am",Local Round-Up: Copenhagen rent prices soar as landlords exploit loopholes 
49,"October 28th, 2019 4:42 pm",Dybbølsbro Bridge: boasting Copenhagen’s widest cycle path … and the trickiest 
50,"October 28th, 2019 11:54 am",Danish app can reveal identity of mushrooms 
51,"October 28th, 2019 9:43 am",Temperatures dropping: Here comes the frost 
52,"October 27th, 2019 5:23 am","Bacon, Boris, Brexit and Barnaby "
53,"October 26th, 2019 5:56 am",Sometimes we all need to be ‘shameless’ and admit we need a Legge up 
